sampleID,Barcoded_primer_set,barcode_name
4228501-CD8-RNA,bc1001,bc1001_5p--bc1001_3p
4019101-CD19-RNA,bc1002,bc1002_5p--bc1002_3p
4064401-CD4-RNA,bc1003,bc1003_5p--bc1003_3p
4061602-CD8-RNA,bc1004,bc1004_5p--bc1004_3p
4065203-CD8-RNA,bc1005,bc1005_5p--bc1005_3p
4170603-CD8-RNA,bc1006,bc1006_5p--bc1006_3p
4299602-CD19-RNA,bc1008,bc1008_5p--bc1008_3p
CD19-male-case,bc1012,bc1012_5p--bc1012_3p
CD19-female-case,bc1018,bc1018_5p--bc1018_3p
4050304-CD4-RNA,bc1019,bc1019_5p--bc1019_3p
4303802-CD4-RNA,bc1020,bc1020_5p--bc1020_3p
4158004-CD4-RNA,bc1023,bc1023_5p--bc1023_3p
