sampleID,Barcoded_primer_set,barcode_name
4228501-CD8-RNA,bc1001,4228501_CD8_RNA_5p--4228501_CD8_RNA_3p
4019101-CD19-RNA,bc1002,4019101_CD19_RNA_5p--4019101_CD19_RNA_3p
4064401-CD4-RNA,bc1003,4064401_CD4_RNA_5p--4064401_CD4_RNA_3p
4061602-CD8-RNA,bc1004,4061602_CD8_RNA_5p--4061602_CD8_RNA_3p
4065203-CD8-RNA,bc1005,4065203_CD8_RNA_5p--4065203_CD8_RNA_3p
4170603-CD8-RNA,bc1006,4170603_CD8_RNA_5p--4170603_CD8_RNA_3p
4299602-CD19-RNA,bc1008,4299602_CD19_RNA_5p--4299602_CD19_RNA_3p
CD19-male-case,bc1012,CD19_male_case_5p--CD19_male_case_3p
CD19-female-case,bc1018,CD19_female_case_5p--CD19_female_case_3p
4050304-CD4-RNA,bc1019,4050304_CD4_RNA_5p--4050304_CD4_RNA_3p
4303802-CD4-RNA,bc1020,4303802_CD4_RNA_5p--4303802_CD4_RNA_3p
4158004-CD4-RNA,bc1023,4158004_CD4_RNA_5p--4158004_CD4_RNA_3p
